# All replay-proven source coordinates for each adjudicated instruction.
# Derived read-only from the 2026-08-01 1499-source deterministic replay.
# instruction_hash | source_hashes earliest first | first_received_at | instruction_source_count
00da6b0068a45907 | 74e80e721ab66ea5 | 2026-06-12T03:25:22+00:00 | 1
00e6e8fe68a45907 | a594de441ab66ea5 | 2026-06-08T01:51:50+00:00 | 1
038a204d68a45907 | 30972a8e1ab66ea5 | 2026-06-15T02:14:53+00:00 | 1
041d0aa668a45907 | 9d0c47c01ab66ea5 | 2026-06-08T11:34:13+00:00 | 1
044fdf7668a45907 | 3101d3341ab66ea5,5407ce2d6aefde65 | 2026-06-30T02:55:00+00:00 | 2
050569a768a45907 | bed313c51ab66ea5,b19ee78f6aefde65 | 2026-06-23T08:28:05+00:00 | 2
05de97b668a45907 | c5b4f4921ab66ea5 | 2026-06-09T07:13:26+00:00 | 1
087da2b368a45907 | 6323e4df6aefde65,8a9703a71ab66ea5 | 2026-07-02T09:43:09+00:00 | 2
09fca55768a45907 | afee92641ab66ea5 | 2026-06-22T02:58:28+00:00 | 1
0a276da968a45907 | 0935d8621ab66ea5,1a08d3646aefde65 | 2026-06-23T00:49:31+00:00 | 2
0d05c2e168a45907 | a737683c1ab66ea5 | 2026-06-06T00:49:00+00:00 | 1
0f7ffd0168a45907 | 9828f8181ab66ea5,dce55de06aefde65 | 2026-07-03T05:47:12+00:00 | 2
0fed5d6b68a45907 | 0c76675e1ab66ea5,dbdb74736aefde65 | 2026-07-15T02:40:04+00:00 | 2
10fc341968a45907 | a6f4520b1ab66ea5 | 2026-06-18T07:06:00+00:00 | 1
111a4d0b68a45907 | 30a01dbf1ab66ea5 | 2026-06-15T02:05:52+00:00 | 1
11ae4a6868a45907 | 94bc90846aefde65,9c2888c21ab66ea5 | 2026-06-23T06:24:37+00:00 | 2
1306065a68a45907 | 0615d15e1ab66ea5,efcd88221ab66ea5 | 2026-06-11T07:08:22+00:00 | 2
16d123eedfde6ac5 | e9f838b41ab66ea5,1a0d1fa56aefde65 | 2026-07-06T22:46:51+00:00 | 2
177a7f3968a45907 | 28f1d0a86aefde65,9c4a405e1ab66ea5 | 2026-06-24T08:30:07+00:00 | 2
17e36c3468a45907 | 3ded08ba1ab66ea5 | 2026-06-11T06:30:13+00:00 | 1
180f8aab68a45907 | 38a2a70c1ab66ea5 | 2026-06-15T23:59:21+00:00 | 1
1abc2dfc68a45907 | f96343381ab66ea5,a7eb6d636aefde65 | 2026-07-21T06:26:49+00:00 | 2
1f8b687668a45907 | 006016166aefde65,34e5b15c1ab66ea5 | 2026-07-21T03:39:31+00:00 | 2
1fd3839ddfde6ac5 | 370ccb7d1ab66ea5 | 2026-06-03T02:49:27+00:00 | 1
20e12b1068a45907 | d9e1340e1ab66ea5 | 2026-06-18T07:41:01+00:00 | 1
22e8161568a45907 | f4b734d11ab66ea5,0e346ebe6aefde65,42baf49c1ab66ea5 | 2026-06-22T04:00:09+00:00 | 3
2422f19b68a45907 | 57138b126aefde65,c2d196171ab66ea5 | 2026-06-23T06:26:45+00:00 | 2
2639e08068a45907 | b122782e1ab66ea5 | 2026-06-17T06:03:23+00:00 | 1
273e9b5368a45907 | ae48e2b26aefde65,5f2b25c41ab66ea5 | 2026-06-24T08:16:33+00:00 | 2
285eefb768a45907 | 6f79b3fd6aefde65,9f9bce281ab66ea5 | 2026-06-30T01:05:58+00:00 | 2
28d4f51968a45907 | 09f7d8f11ab66ea5,c917dc5e6aefde65 | 2026-06-26T00:57:43+00:00 | 2
292c9a5668a45907 | 24a5c2e91ab66ea5,36cb73816aefde65 | 2026-07-02T07:12:07+00:00 | 2
2931434b68a45907 | 3fe6fd5a1ab66ea5 | 2026-06-09T07:23:37+00:00 | 1
29b1f41368a45907 | 51e2acfc6aefde65,e56aec3e1ab66ea5 | 2026-07-17T01:46:48+00:00 | 2
2a84be7a68a45907 | 4ffa06741ab66ea5 | 2026-06-16T08:41:13+00:00 | 1
2c1349f568a45907 | f396728d1ab66ea5 | 2026-06-12T01:15:24+00:00 | 1
2c53621568a45907 | b2a19b726aefde65,c162adaa1ab66ea5 | 2026-06-23T08:34:13+00:00 | 2
