# SES Phase C3 tranche 1 — the closed, hand-adjudicated tier-A work-order backfill set.
# Source: data/ses-c2-evidence-measure-v1/report.md §3.3 (recoverable class A), re-verified
# against production on 2026-08-01 (case binding + PDF-text identity + storage resolution).
# Format: job_number|job_id|case_id|builder_wo_canonical|email_attachment_id|sha256|file_name
AJBR 66933|2f9bc32f-8cf8-459b-ae27-707ef85889cb|f7df5c9c-9db8-47df-bd45-2a89ef19e75c|AJBR-66933|bb248540-528f-4bfe-8e12-bb63aade89c5|94f1ebfcace37cefed7108fe4a6e54ecfec0d0867dd75ebe005db6e201d00c6d|Works Order.pdf
AJBR 67172|cfc827ff-06c7-44e7-90d1-d99a939342f5|09acea09-b205-476d-b0cc-634a37b38b4e|AJBR-67172|d2df4ae4-0add-4bb8-9cd7-384bf11039ec|99c7ac5d4708e6ace86c4634c024c2c86b0247be6ccf360203a35abb49200a9d|Works Order.pdf
AJBR 67178|e8d7ef9e-104f-44f9-adbe-0c1a68151df9|78c46363-fd27-4cd4-a35a-fb4777556360|AJBR-67178|bdf82570-e3e2-40b8-aa93-c85a8dafbcf2|2a77e811df7360c821da181f6654ebd8f94bd7252f7acc837ea56f1ef73bca2b|Works Order.pdf
AJBR 67205|eea5fafa-7009-4fa5-bb42-b9fa40ecdd2f|8cc7167a-81ec-439d-9cd9-b205ad9ddfdd|AJBR-67205|9b7c9750-ba34-49c1-822b-6257b05c5bfc|0c69882a5570c74d77ec12054acd0f97f160d40868d68f64ee9f0437d72449fe|Works Order.pdf
AJBR 67260|10e814aa-95db-4e3b-8f0e-92009ab0c0d2|6105965f-a3c9-4354-ba61-b2999d77a102|AJBR-67260|a746fa2c-6cb4-412b-9e38-a04b66bd6197|c6e0291dee45447c766d4ed1114511c9cdfc746e723a8743331e14210d28846d|Works Order.pdf
SWMS-261079|8553f5e9-ba06-41cc-9de2-60ad797484ca|b04e76c0-eb88-4374-a749-605fdb04590e|MLB-27148|b99c0257-533c-4f46-b1cc-916213a4921b|732dd73be696f6f767311783165ab818c67e627482e2965dd53647af0f35af11|work_order_MLB-27148PO-57210_Secureworks_Group_Pty_Ltd.pdf
SWMS-261081|967cdb6e-e57e-46ea-89d8-14e8afbc2ada|23bae50e-55a4-41b5-8c71-076c481a76ec|MLB-27100|bb3fa412-26ce-4840-8685-7e11212ee83b|246444652b93e400d8fb8e897b01a486c601014a1f21c2d5195d2d09287a3a02|work_order_MLB-27100PO-56960_Secureworks_Group_Pty_Ltd.pdf
SWMS-261113|191cb5a8-7c73-424f-ad80-f4e9793a691a|88968627-015f-40a8-a9ed-32e7edf0a5eb|MLB-19475|6888d296-e468-4ab3-bf5b-59cf36cdca28|f8075884c30235c77ed248da24c72a62481f86b0bda433f58eda20e5ca911e3e|work_order_MLB-19475PO-57512_Secureworks_Group_Pty_Ltd.pdf
SWMS-261114|088dee02-91d0-4539-8c9c-6014c9ebf06e|5f7ca312-99aa-4282-8d83-7e6c19ec0fac|RR-26836|5886dbf8-348f-496d-8bcf-e97c87d7cf82|5e3c543302b71c314ef4e68b230078da8ba0e957d48406535e596522173a0afe|work_order_MLB-RR-26836PO-57514_Secureworks_Group_Pty_Ltd.pdf
SWMS-261116|b7abfb20-6ab3-41fb-b5af-d65491bca38c|c030a890-58ab-448e-ac7c-c348a063ffad|MLB-27387|1388de92-6403-4655-b170-c817877151c7|b0be3a448584e503901aa395b7b510d76aa8f481c0791035b1092468a64f7de9|work_order_MLB-27387PO-57525_Secureworks_Group_Pty_Ltd.pdf
SWMS-26430|8aecc0fb-f148-4b21-84c5-6dd3d3dca8de|ed29eff5-8f2f-4844-b2b8-ac21beecd519|AJBR-67201|5fd73e5f-e123-42cb-bcdb-87cf86c5f53e|f73fc930e389cada0a6d07cc9325bf280cc99b648245afd49437050018f3af9d|Works Order.pdf
SWMS-26671|3d009749-6ffd-48d9-a563-77f8faa9e795|2a4c5626-5a60-4fb6-853e-ab72bf1a8b07|AJBR-66864|6ba281b5-0458-4161-a63e-19a5bc5dc35c|170183828077d9f65de41f9a40e7e440fe25d544644a14c9a5337d5494355f0f|Works Order.pdf
