# SES Phase C3 tranche 2 — the closed, hand-adjudicated reference/subject-matched
# work-order backfill set. Every row was adjudicated per card against the candidate
# PDF's extracted text and required at least TWO independent identity agreements
# with no contradiction; the full agreement matrix and the four SKIP verdicts are in
# scripts/ses-c3-wo-backfill-v2.adjudication.json.
#
# Unlike tranche 1 these artifacts are NOT bound to the card's own intake case, so
# the runtime identity guard is the pair (reference digits still present in the
# extracted PDF text, extracted-text md5 unchanged) plus the artifact sha256.
#
# Format: job_number|job_id|reference|email_attachment_id|sha256|pdf_text_md5|file_name
AJBR 67005|e5f08e4d-e118-49a7-9a65-0253fe274214|AJBR 67005|87f6af26-b061-4b2f-a452-eb1378d77612|8e1a94fdba38d1a157b10dbd20fa0027c9263dfc9d491500f10ccef33d5103a6|cb96c1df66b967c0deb8c8f6421b5491|Works Order.pdf
AJBR 67170|53de8c4b-2b8f-409b-b269-2854cd94b258|AJBR 67170|4288da56-7c20-46d3-b4a7-8ae197ede6aa|a8e754c6d9da447cc9a550cb3751bf7aa3288daa26fb8b13e2834763a2055aa6|6c00e073cb8d2a75d3d922286260e82f|Works Order.pdf
BWCWA6781|a2bd2d82-08f6-4bd0-b817-cd45e6f2ec26|BWCWA6781|dd0e8101-1d35-4132-a9db-771f2b27ad4f|0df19ac2564d8ef93a860c13e3e87a28f6aa56452602563983cc8b04f71a5b44|b3ad488b54b695ea2c091345ed96e2b6|work_order_PO20877_Secure_Works_WA.pdf
SWMS-26440|edb01aaf-dc93-40f0-a326-4935b738640c|AJBR 67032|c245c3c6-ed4d-45e1-b001-28aec872a475|e7b089f39efdbbd5cdd0009c7b794ff46f7c6f7ec76dfde40630a6cc6c40d71f|19bd2669ba0a74f8b1b0c728d7c16589|Works Order.pdf
SWMS-26441|b05d95b7-f0d5-4bdc-a8f0-5f8661d74b8d|AJBR 67004|46d10579-67cb-4245-9cce-af68cb5be834|30afb341ad904ff57c5337d9ad12cd175bda022ce3660717f064a5bd3cfba3a0|5588bfd08302bc1f3e8c45d402b32902|Works Order.pdf
SWMS-26442|cb5b3f94-a63c-413a-af3b-2bd3f119f54f|AJBR 66999|6419ea02-bcd2-4390-b7f2-cf361aaaca24|20cc81c365b2c6e835f028b21dd4070a68cca0c990699561eef8c5afa21da066|2313671c799e9941d3abf1b0bcd20e14|Works Order.pdf
SWMS-26443|e4023e09-0986-4e02-9c5b-61927fb5e115|AJBR 67142|216ae4fb-5229-40e9-8ec1-25bd86277345|42a80bcecfc947c1dd212bfc3c89bcea11dfc6cc5236355e770eeea140815b5f|d4f919a84d0740b89a9d0f0523f11199|Works Order.pdf
SWMS-26444|65a00a49-58a6-4d00-83d7-ad677b622006|AJBR 66971|7980ee31-5d2b-4a68-bc55-69410d3f1438|9197f53f2d5969dce6a59ea8880342f93a730e5eae529d6ee44fc441d34c342f|e42dbda54b24d6dbacdd90a327ee3bb9|Works Order.pdf
SWMS-26445|711f4387-023f-4ce1-ac27-b1e409f19dbe|AJBR 67033|5419f45f-2cf3-41ee-a426-eff329b9775c|934347ee21d2a48c6b8c75a81702f29be2cfbd7bb207914bc53eed90e806cac2|5f550d8dc507f618372fec712830e9e1|Works Order.pdf
SWMS-26446|2b974b28-eafa-42ca-9b87-deae3349d0b3|AJBR 67034|bbbcdebc-7652-46f0-bf7e-cb5b98590e3c|0d3677dc0bd2520843beb75b63a6d9e37506dfdb19cd4bb32bdd54d72f86b263|124373a86be9751cce67227e031b9d9a|Works Order.pdf
SWMS-26447|e480c3aa-741a-4987-8124-75f7cd4bad3c|AJBR 67023|5e292373-2322-46c1-a829-0d87313047ea|682e4be245acc3aa94a49466e4a0405dd2f11f25d0d85f351ca67c76eca967e9|e31b798d9969b864c25d36cf0447842f|Works Order.pdf
SWMS-26448|7ac9f6d6-a744-467c-87d4-56134c9c52a5|AJBR 67045|b2502bb2-f425-4379-858d-848d3098c71b|0eb09520bf0d723823e09d507395bde88cd889b29a8264f747e01ef0099bca8f|43c3e3af9b71688dcfd9d30cc2147791|Works Order.pdf
SWMS-26449|3eb2de99-6723-4b74-9bb4-272866e48ea2|AJBR 67022|a276ebd8-46d4-45cf-ba54-aee7989c5bca|e49b6f2ae2b4e8c56885d5aa855b4a4f7dfdf87988453caa3f3b859bd68e7a07|2bc78df08a6bbe1757d8bb248883f834|Works Order.pdf
SWMS-26450|2f2abba8-db0a-4aa1-90be-554385d282e2|AJBR 66968|3faf774a-15c3-4dd5-a965-d053b8c65b4b|758b80525301cfd90fe662b720fa52520466a0faacaeb4477b4e60c736ab79fd|5557b9ea6a5387e1d0f27f929aeb01ee|Works Order.pdf
SWMS-26655|5520cb13-b1cc-4d07-b923-69eae05462a8|MLB-25096|5d18d5f3-6911-409e-b268-17c9e9b2302b|dc10011165b5fa9b4b151b9bc4593e6b985e6765ca8b53f7b116c382cf949663|0eff007631e2b395d01465feb65e058e|work_order_MLB-25096PO-53582_Secureworks_Group_Pty_Ltd.pdf
SWMS-26663|37012ab4-5df9-4a26-9c82-cffbc2a5bdd8|AJBR 67217-R|1cfc181a-269c-4175-948e-88a9e6f0f0ee|c769ada4a614bca9a119bf63d18c12e85cb286163972afb64292d6be4f06b2e2|a44d2707e4accae362b6c6d601b357af|Works Order.pdf
SWMS-26668|51f63762-cb51-4037-98c1-2b0a18268cb2|AJBR 66883|800a4e04-0e72-4191-95b6-7e84c4d76b86|ef2e7d43b87db1103467c33e7de2f3d230dfd29293d023f8cae6049b8e431d8a|2b25f7233c93e2ba30140ea0738e18b3|Works Order.pdf
SWMS-26674|8aeaf45b-b714-496e-92ca-7c426c88df1d|AJBR 66923|6dd3a970-5465-4ca3-b52a-f3b068c111a9|bedacef899024705947822f0d6bfdb9fa322ff89abdc2152a789a8ab8bb78548|49b63a43483e24a2e3d1163e5af77141|Works Order.pdf
SWMS-26679|62268966-72bf-434c-b85e-284d04346e93|AJBR 66882|7d3d8d6e-8e32-4d83-ae4e-2bf93754dfaf|807d0de45651bf2275474a07a568e5fa5a47a761a1e2d92bb51ca311b8fd2504|6e9773afc018154db0ced5385efe31cb|Works Order.pdf
SWMS-26692|cc83b4eb-81f8-4ff9-ab4c-50b1386e2417|BWCWA6771|4707dbb2-c8ea-4ddd-8e49-936f5bc2182c|1a8cb80848ab604e298b78b91964cd6b5400c616aede563a4143991b7fffdd77|2ad95b670f77f4618833462a79d9a995|work_order_PO20854_Secure_Works_WA.pdf
SWMS-26693|16430596-0428-4f3d-bc92-80bf1eaaedf8|BWCWA6760|762de4a2-d12f-4c93-a2a4-fd7f09d2b6c5|79740094db0cd38c7528620662925f562d4e2e773f0539e336edb359b56bf080|0d081ec780cfa35d309711a15d2041db|work_order_PO20864_Secure_Works_WA.pdf
SWMS-26738|9652281b-978e-49be-bdde-3460ee755ba8|MLB-24333|c35523cd-858d-4303-8b6b-6b741f7ad50b|b68adf639797e2621d8ab5e024abb27aeda7f3967df0b6f5490e241416472de1|178dbf5d9da6d0749b60aca9448598a4|work_order_MLB-24333PO-54013_Secureworks_Group_Pty_Ltd.pdf
SWMS-26858|0c113e9c-f448-421d-b1da-51fd1ecb4500|MLB-26246|4ae6ea70-d22d-4c21-bdae-636820770e0b|4dedbad6cda7de161d4ca2aea1bc6758e9cade1756dd34e21b1d081e178f4da8|1cde798b75ebe5d8d6682dd4e8e0793c|work_order_MLB-26246PO-54129_Secureworks_Group_Pty_Ltd.pdf
SWMS-26898|d36a1416-4e51-4b6a-adfb-38e2cd14ee67|MLB-26371|b16fb56d-afe6-4bfb-b37b-6decb94ee5d4|04f87ae28e7489cedcdfdde1ae61c76546902805d4ce3a5101b9b206cc5fe6d5|8dfda71829647463026f6f4d2d16ae40|work_order_MLB-26371PO-55284_Secureworks_Group_Pty_Ltd.pdf
SWMS-26956|53403e0f-7f18-41aa-8897-54a676f7e4c9|MLB-26369|f06010df-bc71-4c37-8a17-5dcc218f9d48|1d4340de39b63bd1ebb4d81b7abf7b10a4347bf77cb87e77136737da72449dce|00bc85299612ddcf796c42f436a1b902|work_order_MLB-26369PO-54588_Secureworks_Group_Pty_Ltd.pdf
WB68792|57aaa060-4148-4db0-adfe-238c0836f77b|WB68792|72845178-68db-4b93-a90b-b7e8835b1383|b055b7068b44a156126d00451a97c3550666cc2654c478f5315d49b95e4c4bdc|507fd5937a7b161d6402f6f02614c2cb|work_order_WB68792-177207_Secureworks_WA.pdf
